p_key,Car,MPG,Cylinders,Displacement,Horsepower,Weight,Acceleration,Model,Origin
1,Chevrolet Chevelle Malibu,18,8,307,130,3504,12,70,US
2,Buick Skylark 320,15,8,350,165,3693,11.5,70,US
3,Plymouth Satellite,18,8,318,150,3436,11,70,US
4,AMC Rebel SST,16,8,304,150,3433,12,70,US
5,Ford Torino,17,8,302,140,3449,10.5,70,US
6,Ford Galaxie 500,15,8,429,198,4341,10,70,US
7,Chevrolet Impala,14,8,454,220,4354,9,70,US
8,Plymouth Fury iii,14,8,440,215,4312,8.5,70,US
9,Pontiac Catalina,14,8,455,225,4425,10,70,US
10,AMC Ambassador DPL,15,8,390,190,3850,8.5,70,US
11,Citroen DS-21 Pallas,0,4,133,115,3090,17.5,70,Europe
12,Chevrolet Chevelle Concours (sw),0,8,350,165,4142,11.5,70,US
13,Ford Torino (sw),0,8,351,153,4034,11,70,US
14,Plymouth Satellite (sw),0,8,383,175,4166,10.5,70,US
15,AMC Rebel SST (sw),0,8,360,175,3850,11,70,US
16,Dodge Challenger SE,15,8,383,170,3563,10,70,US
17,Plymouth 'Cuda 340,14,8,340,160,3609,8,70,US
18,Ford Mustang Boss 302,0,8,302,140,3353,8,70,US
19,Chevrolet Monte Carlo,15,8,400,150,3761,9.5,70,US
20,Buick Estate Wagon (sw),14,8,455,225,3086,10,70,US
21,Toyota Corolla Mark ii,24,4,113,95,2372,15,70,Japan
22,Plymouth Duster,22,6,198,95,2833,15.5,70,US
23,AMC Hornet,18,6,199,97,2774,15.5,70,US
24,Ford Maverick,21,6,200,85,2587,16,70,US
25,Datsun PL510,27,4,97,88,2130,14.5,70,Japan
26,Volkswagen 1131 Deluxe Sedan,26,4,97,46,1835,20.5,70,Europe
27,Peugeot 504,25,4,110,87,2672,17.5,70,Europe
28,Audi 100 LS,24,4,107,90,2430,14.5,70,Europe
29,Saab 99e,25,4,104,95,2375,17.5,70,Europe
30,BMW 2002,26,4,121,113,2234,12.5,70,Europe
31,AMC Gremlin,21,6,199,90,2648,15,70,US
32,Ford F250,10,8,360,215,4615,14,70,US
33,Chevy C20,10,8,307,200,4376,15,70,US
34,Dodge D200,11,8,318,210,4382,13.5,70,US
35,Hi 1200D,9,8,304,193,4732,18.5,70,US
36,Datsun PL510,27,4,97,88,2130,14.5,71,Japan
37,Chevrolet Vega 2300,28,4,140,90,2264,15.5,71,US
38,Toyota Corolla,25,4,113,95,2228,14,71,Japan
39,Ford Pinto,25,4,98,0,2046,19,71,US
40,Volkswagen Super Beetle 117,0,4,97,48,1978,20,71,Europe
41,AMC Gremlin,19,6,232,100,2634,13,71,US
42,Plymouth Satellite Custom,16,6,225,105,3439,15.5,71,US
43,Chevrolet Chevelle Malibu,17,6,250,100,3329,15.5,71,US
44,Ford Torino 500,19,6,250,88,3302,15.5,71,US
45,AMC Matador,18,6,232,100,3288,15.5,71,US
